"train/global_step","[benchmark]BNPO - _step","[benchmark]BNPO - _step__MIN","[benchmark]BNPO - _step__MAX","[benchmark]BNPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean","[benchmark]BNPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]BNPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]dr_GRPO - _step","[benchmark]dr_GRPO - _step__MIN","[benchmark]dr_GRPO - _step__MAX","[benchmark]dr_GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean","[benchmark]dr_GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]dr_GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GSPO - _step","[benchmark]GSPO - _step__MIN","[benchmark]GSPO - _step__MAX","[benchmark]GSPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean","[benchmark]GSPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GSPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GEPO - _step","[benchmark]GEPO - _step__MIN","[benchmark]GEPO - _step__MAX","[benchmark]GEPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean","[benchmark]GEPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GEPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GRPO - _step","[benchmark]GRPO - _step__MIN","[benchmark]GRPO - _step__MAX","[benchmark]GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean","[benchmark]GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MAX"
"0","232","232","232","0.0390625","0.0390625","0.0390625","232","232","232","0.0390625","0.0390625","0.0390625","232","232","232","0.0390625","0.0390625","0.0390625","232","232","232","0.0390625","0.0390625","0.0390625","232","232","232","0.0390625","0.0390625","0.0390625"
"64","2699","2699","2699","0.078125","0.078125","0.078125","2699","2699","2699","0.10546875","0.10546875","0.10546875","2699","2699","2699","0.1015625","0.1015625","0.1015625","2699","2699","2699","0.10546875","0.10546875","0.10546875","2699","2699","2699","0.09765625","0.09765625","0.09765625"
"128","5166","5166","5166","0.1484375","0.1484375","0.1484375","5166","5166","5166","0.16796875","0.16796875","0.16796875","5166","5166","5166","0.1796875","0.1796875","0.1796875","5166","5166","5166","0.1640625","0.1640625","0.1640625","5166","5166","5166","0.1796875","0.1796875","0.1796875"
"192","7633","7633","7633","0.17578125","0.17578125","0.17578125","7633","7633","7633","0.1875","0.1875","0.1875","7633","7633","7633","0.18359375","0.18359375","0.18359375","7633","7633","7633","0.19140625","0.19140625","0.19140625","7633","7633","7633","0.1875","0.1875","0.1875"
"256","10100","10100","10100","0.17578125","0.17578125","0.17578125","10100","10100","10100","0.18359375","0.18359375","0.18359375","10100","10100","10100","0.17578125","0.17578125","0.17578125","10100","10100","10100","0.1953125","0.1953125","0.1953125","10100","10100","10100","0.17578125","0.17578125","0.17578125"
"320","12567","12567","12567","0.19140625","0.19140625","0.19140625","12567","12567","12567","0.15234375","0.15234375","0.15234375","12567","12567","12567","0.16796875","0.16796875","0.16796875","12567","12567","12567","0.1953125","0.1953125","0.1953125","12567","12567","12567","0.1953125","0.1953125","0.1953125"
"384","15034","15034","15034","0.1796875","0.1796875","0.1796875","15034","15034","15034","0.18359375","0.18359375","0.18359375","15034","15034","15034","0.19921875","0.19921875","0.19921875","15034","15034","15034","0.18359375","0.18359375","0.18359375","15034","15034","15034","0.19140625","0.19140625","0.19140625"
"448","17501","17501","17501","0.1640625","0.1640625","0.1640625","17501","17501","17501","0.1640625","0.1640625","0.1640625","17501","17501","17501","0.17578125","0.17578125","0.17578125","17501","17501","17501","0.18359375","0.18359375","0.18359375","17501","17501","17501","0.1875","0.1875","0.1875"
"512","19968","19968","19968","0.1171875","0.1171875","0.1171875","19968","19968","19968","0.1640625","0.1640625","0.1640625","19968","19968","19968","0.203125","0.203125","0.203125","19968","19968","19968","0.171875","0.171875","0.171875","19968","19968","19968","0.18359375","0.18359375","0.18359375"
"576","22435","22435","22435","0","0","0","22435","22435","22435","0.1328125","0.1328125","0.1328125","22435","22435","22435","0.20703125","0.20703125","0.20703125","22435","22435","22435","0.17578125","0.17578125","0.17578125","22435","22435","22435","0.18359375","0.18359375","0.18359375"
