"train/global_step","[benchmark_diff32]GSPO - _step","[benchmark_diff32]GSPO - _step__MIN","[benchmark_diff32]GSPO - _step__MAX","[benchmark_diff32]GSPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GSPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GSPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]GRPO - _step","[benchmark_diff32]GRPO - _step__MIN","[benchmark_diff32]GRPO - _step__MAX","[benchmark_diff32]GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]dr_GRPO - _step","[benchmark_diff32]dr_GRPO - _step__MIN","[benchmark_diff32]dr_GRPO - _step__MAX","[benchmark_diff32]dr_GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]dr_GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]dr_GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]GEPO - _step","[benchmark_diff32]GEPO - _step__MIN","[benchmark_diff32]GEPO - _step__MAX","[benchmark_diff32]GEPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GEPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GEPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MAX"
"64","2814","2814","2814","0.0625","0.0625","0.0625","2814","2814","2814","0.03125","0.03125","0.03125","2814","2814","2814","0.0625","0.0625","0.0625","2814","2814","2814","0.06640625","0.06640625","0.06640625"
"128","6575","6575","6575","0.1015625","0.1015625","0.1015625","6575","6575","6575","0.046875","0.046875","0.046875","6575","6575","6575","0.05078125","0.05078125","0.05078125","6575","6575","6575","0.0859375","0.0859375","0.0859375"
"192","10336","10336","10336","0.16796875","0.16796875","0.16796875","10336","10336","10336","0.06640625","0.06640625","0.06640625","10336","10336","10336","0.078125","0.078125","0.078125","10336","10336","10336","0.12890625","0.12890625","0.12890625"
"256","14097","14097","14097","0.1640625","0.1640625","0.1640625","14097","14097","14097","0.0703125","0.0703125","0.0703125","14097","14097","14097","0.06640625","0.06640625","0.06640625","14097","14097","14097","0.14453125","0.14453125","0.14453125"
"320","17858","17858","17858","0.1015625","0.1015625","0.1015625","17858","17858","17858","0.07421875","0.07421875","0.07421875","17858","17858","17858","0.0625","0.0625","0.0625","17858","17858","17858","0.171875","0.171875","0.171875"
"384","21619","21619","21619","0.078125","0.078125","0.078125","21619","21619","21619","0.05859375","0.05859375","0.05859375","21619","21619","21619","0.078125","0.078125","0.078125","21619","21619","21619","0.1640625","0.1640625","0.1640625"
"448","25380","25380","25380","0.046875","0.046875","0.046875","25380","25380","25380","0.0859375","0.0859375","0.0859375","25380","25380","25380","0.078125","0.078125","0.078125","25380","25380","25380","0.15234375","0.15234375","0.15234375"
"512","29141","29141","29141","0.08203125","0.08203125","0.08203125","29141","29141","29141","0.09765625","0.09765625","0.09765625","29141","29141","29141","0.0859375","0.0859375","0.0859375","29141","29141","29141","0.16796875","0.16796875","0.16796875"
"576","32902","32902","32902","0.12109375","0.12109375","0.12109375","32902","32902","32902","0.1015625","0.1015625","0.1015625","32902","32902","32902","0.09765625","0.09765625","0.09765625","32902","32902","32902","0.171875","0.171875","0.171875"
"640","36663","36663","36663","0.09375","0.09375","0.09375","36663","36663","36663","0.11328125","0.11328125","0.11328125","36663","36663","36663","0.109375","0.109375","0.109375","36663","36663","36663","0.16796875","0.16796875","0.16796875"
"704","40424","40424","40424","0.1171875","0.1171875","0.1171875","40424","40424","40424","0.11328125","0.11328125","0.11328125","40424","40424","40424","0.1015625","0.1015625","0.1015625","40424","40424","40424","0.14453125","0.14453125","0.14453125"
"768","44185","44185","44185","0.14453125","0.14453125","0.14453125","44185","44185","44185","0.125","0.125","0.125","44185","44185","44185","0.109375","0.109375","0.109375","44185","44185","44185","0.15625","0.15625","0.15625"
"832","47946","47946","47946","0.15625","0.15625","0.15625","47946","47946","47946","0.1171875","0.1171875","0.1171875","47946","47946","47946","0.09765625","0.09765625","0.09765625","47946","47946","47946","0.18359375","0.18359375","0.18359375"
"896","51707","51707","51707","0.16015625","0.16015625","0.16015625","51707","51707","51707","0.12109375","0.12109375","0.12109375","51707","51707","51707","0.11328125","0.11328125","0.11328125","51707","51707","51707","0.17578125","0.17578125","0.17578125"
"960","55468","55468","55468","0.17578125","0.17578125","0.17578125","55468","55468","55468","0.1328125","0.1328125","0.1328125","55468","55468","55468","0.125","0.125","0.125","55468","55468","55468","0.18359375","0.18359375","0.18359375"
"1024","59229","59229","59229","0.1484375","0.1484375","0.1484375","59229","59229","59229","0.125","0.125","0.125","59229","59229","59229","0.109375","0.109375","0.109375","59229","59229","59229","0.15234375","0.15234375","0.15234375"
"1088","62990","62990","62990","0.16015625","0.16015625","0.16015625","62990","62990","62990","0.13671875","0.13671875","0.13671875","62990","62990","62990","0.1328125","0.1328125","0.1328125","62990","62990","62990","0.1796875","0.1796875","0.1796875"
"1152","66751","66751","66751","0.1328125","0.1328125","0.1328125","66751","66751","66751","0.13671875","0.13671875","0.13671875","66751","66751","66751","0.1328125","0.1328125","0.1328125","66751","66751","66751","0.17578125","0.17578125","0.17578125"
"1216","70512","70512","70512","0.02734375","0.02734375","0.02734375","70512","70512","70512","0.140625","0.140625","0.140625","70512","70512","70512","0.140625","0.140625","0.140625","70512","70512","70512","0.17578125","0.17578125","0.17578125"
"1280","","","","","","","74273","74273","74273","0.1484375","0.1484375","0.1484375","74273","74273","74273","0.1484375","0.1484375","0.1484375","74273","74273","74273","0.1875","0.1875","0.1875"
